query,expected_intent,predicted_intent,error_type
它过敏了怎么办？麻烦了,after_sales,redline,after_sales->redline
男士香水一天喷几次？麻烦了,pre_sale,unknown,pre_sale->unknown
柑橘香水味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
套装味道太浓了怎么办？在线等,after_sales,unknown,after_sales->unknown
有赠品吗？,pre_sale,unknown,pre_sale->unknown
有赠品吗？,pre_sale,unknown,pre_sale->unknown
想问下收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
茉莉香水味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
女士香水过敏了怎么办？,after_sales,redline,after_sales->redline
亲，那个香水一天喷几次？,pre_sale,unknown,pre_sale->unknown
正装含酒精吗？,pre_sale,unknown,pre_sale->unknown
这瓶香水含酒精吗？麻烦了,pre_sale,unknown,pre_sale->unknown
小样味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
想问下男士香水味道浓吗？,pre_sale,unknown,pre_sale->unknown
那个香水一天喷几次？,pre_sale,unknown,pre_sale->unknown
它打折吗？,pre_sale,unknown,pre_sale->unknown
客服，女士香水过敏了怎么办？,after_sales,redline,after_sales->redline
收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
礼盒味道浓吗？,pre_sale,unknown,pre_sale->unknown
收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
它味道太浓了怎么办？拜托了,after_sales,unknown,after_sales->unknown
男士香水味道浓吗？,pre_sale,unknown,pre_sale->unknown
那个，浓香水一天喷几次？急,pre_sale,unknown,pre_sale->unknown
那个香水味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
小样一天喷几次？,pre_sale,unknown,pre_sale->unknown
这款香水味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
茉莉香水味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
桂花香水一天喷几次？,pre_sale,unknown,pre_sale->unknown
有赠品吗？,pre_sale,unknown,pre_sale->unknown
桂花香水含酒精吗？,pre_sale,unknown,pre_sale->unknown
这个香水味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
那个，正装味道浓吗？,pre_sale,unknown,pre_sale->unknown
中性香水味道浓吗？,pre_sale,unknown,pre_sale->unknown
这个一天喷几次？,pre_sale,unknown,pre_sale->unknown
桂花香水味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
有赠品吗？,pre_sale,unknown,pre_sale->unknown
正装一天喷几次？,pre_sale,unknown,pre_sale->unknown
那个，这款味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
它味道浓吗？,pre_sale,unknown,pre_sale->unknown
礼盒含酒精吗？拜托了,pre_sale,unknown,pre_sale->unknown
柑橘香水一天喷几次？在线等,pre_sale,unknown,pre_sale->unknown
这个香水一天喷几次？,pre_sale,unknown,pre_sale->unknown
老板，正装味道浓吗？,pre_sale,unknown,pre_sale->unknown
男士香水一天喷几次？,pre_sale,unknown,pre_sale->unknown
套装味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
老板，收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
男士香水味道太浓了怎么办？拜托了,after_sales,unknown,after_sales->unknown
中性香水味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
男士香水含酒精吗？,pre_sale,unknown,pre_sale->unknown
女士香水含酒精吗？,pre_sale,unknown,pre_sale->unknown
女士香水过敏了怎么办？,after_sales,redline,after_sales->redline
就是，这款香水味道太浓了怎么办？,after_sales,unknown,after_sales->unknown
淡香水味道浓吗？拜托了,pre_sale,unknown,pre_sale->unknown
想问下收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
收到的是空的怎么办？,after_sales,unknown,after_sales->unknown
这款香水含酒精吗？,pre_sale,unknown,pre_sale->unknown
请问这个香水味道浓吗？,pre_sale,unknown,pre_sale->unknown
茉莉香水含酒精吗？,pre_sale,unknown,pre_sale->unknown
有赠品吗？,pre_sale,unknown,pre_sale->unknown
那个，这个过敏了怎么办？,after_sales,redline,after_sales->redline
这款香水味道浓吗？谢谢,pre_sale,unknown,pre_sale->unknown
